,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,actor_loss,critic_loss,target_q
0,Pendulum-v0,440,-1341.015319591831,1199,6,2.7234396934509277,8.981341361999512,0.7059811949729919,-9.20396614074707
1,Pendulum-v0,193,-1426.666162795794,2199,11,11.356502771377563,23.468189239501953,2.6662378311157227,-23.698368072509766
2,Pendulum-v0,167,-1428.8844892611119,3199,16,19.138206958770752,37.553585052490234,22.464466094970703,-38.200286865234375
3,Pendulum-v0,153,-1360.989934525405,4199,21,27.284517526626587,51.1739616394043,1.5955924987792969,-52.41997528076172
4,Pendulum-v0,145,-1304.8087062715122,5199,26,35.73854899406433,60.75285339355469,30.510757446289062,-62.29495620727539
5,Pendulum-v0,141,-1217.4438458664274,6199,31,43.681453227996826,69.02047729492188,111.25907135009766,-70.07508087158203
6,Pendulum-v0,138,-1123.5401137685767,7199,36,51.847769260406494,71.83929443359375,80.69375610351562,-72.5719985961914
7,Pendulum-v0,136,-1020.265768649254,8199,41,60.024322271347046,77.1553955078125,5.708955764770508,-78.0261459350586
8,Pendulum-v0,133,-972.9720347977454,9199,46,68.82985210418701,83.33257293701172,164.19180297851562,-84.90543365478516
9,Pendulum-v0,132,-914.6760550544836,10199,51,76.78236126899719,79.15485382080078,17.330982208251953,-82.80110168457031
10,Pendulum-v0,130,-849.3943532322273,11199,56,85.56264615058899,78.04426574707031,6.597125053405762,-79.47190856933594
11,Pendulum-v0,128,-792.3792860787396,12199,61,94.72936725616455,76.63063049316406,9.243030548095703,-77.85308837890625
12,Pendulum-v0,128,-741.8185238621842,13199,66,102.51555156707764,66.12601470947266,105.2535400390625,-67.11321258544922
13,Pendulum-v0,129,-700.5329602453645,14199,71,110.04785513877869,80.84249877929688,224.77139282226562,-80.41716003417969
14,Pendulum-v0,128,-661.0598501423343,15199,76,118.5295479297638,76.51763916015625,27.172151565551758,-78.47388458251953
15,Pendulum-v0,127,-631.675272184029,16199,81,127.28349232673645,61.858673095703125,107.54054260253906,-63.95018768310547
16,Pendulum-v0,126,-603.7335190594728,17199,86,135.54301357269287,62.26718521118164,616.68408203125,-62.13437271118164
17,Pendulum-v0,126,-580.0975847941971,18199,91,143.62357115745544,71.11258697509766,11.035959243774414,-72.2444076538086
18,Pendulum-v0,126,-556.4412135949066,19199,96,152.05626821517944,59.8559455871582,7.996364593505859,-61.43968200683594
19,Pendulum-v0,125,-526.56055426552,20199,101,160.97276782989502,76.31059265136719,16.261322021484375,-77.89627075195312
20,Pendulum-v0,124,-473.2100477199693,21199,106,169.7188904285431,57.46491622924805,9.538656234741211,-58.55864715576172
21,Pendulum-v0,124,-406.34221813351667,22199,111,178.27220749855042,50.505470275878906,10.536140441894531,-52.392784118652344
22,Pendulum-v0,123,-342.8821714683472,23199,116,187.79941487312317,66.77869415283203,107.28218078613281,-67.54563903808594
23,Pendulum-v0,122,-294.1748814173865,24199,121,196.8591604232788,63.82231521606445,10.12575912475586,-65.81336212158203
24,Pendulum-v0,122,-249.29537242661056,25199,126,205.5429437160492,53.44189453125,7.318652153015137,-55.554359436035156
25,Pendulum-v0,122,-217.11966839355193,26199,131,214.09141969680786,49.43390655517578,582.317626953125,-49.997161865234375
26,Pendulum-v0,122,-200.43085930006458,27199,136,221.89622521400452,49.962158203125,79.09898376464844,-51.46726608276367
27,Pendulum-v0,122,-194.8693829103202,28199,141,230.21120166778564,43.90411376953125,5.373857498168945,-45.276554107666016
28,Pendulum-v0,122,-174.5626803442962,29199,146,238.387446641922,56.349822998046875,14.288333892822266,-57.7924919128418
29,Pendulum-v0,122,-162.87805131051633,30199,151,245.6575162410736,51.71906280517578,6.906540870666504,-52.778465270996094
30,Pendulum-v0,122,-160.94700072689622,31199,156,253.9235303401947,38.353145599365234,9.438308715820312,-40.924896240234375
31,Pendulum-v0,122,-160.42264816919388,32199,161,262.72399258613586,50.84677505493164,88.00125122070312,-51.78700256347656
32,Pendulum-v0,122,-162.50903381768998,33199,166,271.163765668869,50.57246780395508,520.7381591796875,-51.084964752197266
33,Pendulum-v0,122,-165.28965995069325,34199,171,279.7623493671417,49.7783317565918,275.73016357421875,-50.58668518066406
34,Pendulum-v0,121,-169.48993483047573,35199,176,288.81535720825195,44.23391342163086,3.9762139320373535,-45.18864440917969
35,Pendulum-v0,121,-169.91219863619114,36199,181,297.06040620803833,36.69627380371094,351.36627197265625,-37.332733154296875
36,Pendulum-v0,121,-169.53787699670465,37199,186,305.7658712863922,39.65098571777344,5.776925563812256,-41.160133361816406
37,Pendulum-v0,121,-165.66567084910562,38199,191,314.339448928833,42.928741455078125,7.4629740715026855,-44.956993103027344
38,Pendulum-v0,121,-169.6952788969497,39199,196,322.43374133110046,39.95002746582031,5.174159526824951,-41.68246841430664
39,Pendulum-v0,121,-170.86311818356512,40199,201,329.52116227149963,49.236412048339844,95.30828857421875,-49.71990966796875
40,Pendulum-v0,122,-165.9117417015191,41199,206,337.6206274032593,38.02843475341797,6.31500244140625,-39.288475036621094
41,Pendulum-v0,121,-161.16674785751005,42199,211,346.3471267223358,34.02622985839844,6.757333755493164,-35.2059440612793
42,Pendulum-v0,121,-158.80887369162608,43199,216,354.64600586891174,37.99626159667969,8.301523208618164,-39.40256118774414
43,Pendulum-v0,121,-157.7532111540907,44199,221,363.3282446861267,41.11069869995117,556.0045166015625,-41.30913543701172
44,Pendulum-v0,121,-156.53193412076655,45199,226,370.59749722480774,35.466278076171875,332.592529296875,-36.032440185546875
45,Pendulum-v0,122,-159.10046376942418,46199,231,378.25421166419983,30.141239166259766,2.3437674045562744,-31.255128860473633
46,Pendulum-v0,122,-158.18442727439498,47199,236,386.53330421447754,31.503402709960938,3.9057843685150146,-32.901424407958984
47,Pendulum-v0,122,-155.95649254112723,48199,241,395.0603518486023,28.549182891845703,2.070409059524536,-29.301071166992188
48,Pendulum-v0,121,-156.15099679756855,49199,246,403.7249457836151,35.93788146972656,3.2913804054260254,-36.846519470214844
